condition,search_location_city,base_price,local_pick_up,free_shipping,price,title,listing_type_id,accepts_mercadopago,international_delivery_mode,sold_quantity,available_quantity,buying_mode,automatic_relist,condition,dia_start,mes_start,año_start,dia_stop,mes_stop
new,Capital Federal,80.0,True,False,80.0,Auriculares Samsung Originales Manos Libres Cable Usb Oferta,bronze,True,none,0,1,buy_it_now,False,new,5,9,2015,4,11
used,Capital Federal,2650.0,True,False,2650.0,Cuchillo Daga Acero Carbón Casco Yelmo Solingen Con Vaina,silver,True,none,0,1,buy_it_now,False,used,26,9,2015,25,11
used,Capital Federal,60.0,True,False,60.0,"Antigua Revista Billiken, N° 1826, Año 1954",bronze,True,none,0,1,buy_it_now,False,used,9,9,2015,8,11
new,Capital Federal,580.0,True,False,580.0,Alarma Guardtex Gx412 Seguridad Para El Automotor!!!,silver,True,none,0,1,buy_it_now,False,new,28,9,2015,4,12
used,Tres de febrero,30.0,True,False,30.0,Serenata - Jennifer Blake,bronze,True,none,0,1,buy_it_now,False,used,24,8,2015,23,10
new,San Isidro,310.0,True,False,310.0,Clavo De Olor(*1/2)  Grano Origen Turquia,bronze,True,none,0,1,buy_it_now,False,new,30,8,2015,29,10
used,Capital Federal,180.0,True,False,180.0,Short Nike Fit Boca Juniors Talle S 7-8 Años,free,True,none,0,1,buy_it_now,False,used,6,10,2015,5,12
used,Capital Federal,150.0,False,False,150.0,Plaza De Toros Iglesias Vistas Aereas De España 1965,free,True,none,0,1,buy_it_now,False,used,14,10,2015,13,12
new,Capital Federal,2352.0,True,True,2352.0,Kit X2 Amortiguador Trasero Monroe Chrysler Caravan 01,gold_special,True,none,0,10,buy_it_now,True,new,30,9,2015,29,11
new,Esteban Echeverría,120.0,True,False,120.0,Bonitas Mallas Color Fuccia Talle 1 Y 2,silver,True,none,1,1,buy_it_now,False,new,3,10,2015,2,12
new,Cañuelas,50.0,True,False,50.0,Analisis Clinicos Carlos De La Torre Cañuelas,bronze,True,none,1,99,buy_it_now,False,new,16,8,2015,15,10
new,Hurlingham,9500.0,False,False,9500.0,Xperia Z2 16gb Nuevo + Garantia Con Banda Lte Argentina.,free,True,none,1,1,buy_it_now,False,new,30,9,2015,29,11
used,Capital Federal,69.0,True,False,69.0,2 Bidones Para Nafta Y Agua 10 Litros,free,True,none,1,1,buy_it_now,False,used,28,9,2015,27,11
new,,450.0,True,False,450.0,Remera Importada,bronze,True,none,0,1,buy_it_now,False,new,23,8,2015,22,10
new,Rosario,155.0,True,False,155.0,Valdelomar O La Belle Epoque ( 1ªed S/uso)   Luis A. Sanchez,bronze,True,none,0,1,buy_it_now,False,new,3,10,2015,2,12
new,Hurlingham,100.0,True,False,100.0,Alzada Porta Chupetines Y Golosinas,bronze,True,none,4,1,buy_it_now,False,new,17,9,2015,16,11
used,La Matanza,30.0,True,False,30.0,Figuritas Sailor Moon Años 90,bronze,True,none,0,1,buy_it_now,False,used,18,9,2015,17,11
used,Capital Federal,6000.0,True,False,6000.0,Playstation 3 Seminueva,free,True,none,0,1,buy_it_now,False,used,10,10,2015,9,12
new,La Matanza,110.0,False,False,110.0,Eje De Distribucion Armado Falcon 69-80 Tipo Buffalo,bronze,True,none,0,1,buy_it_now,False,new,6,10,2015,5,12
new,Capital Federal,170.0,True,False,170.0,Lego Llavero Hobbit - Bilbo Baggins,bronze,True,none,1,1,buy_it_now,False,new,25,8,2015,24,10
used,Escobar,60.0,True,False,60.0,Selecciones Escolares Numero Especial Y Album Barbablanca 99,free,True,none,0,1,buy_it_now,False,used,17,9,2015,16,11
new,Capital Federal,190.0,True,False,190.0,Fallas En La Memoria - Delhospital Ediciones,bronze,True,none,0,1,buy_it_now,False,new,24,8,2015,23,10
